fst_name,lst_name,email,city,state,uuid
teste1,teste1,12345682,teste1,teste1,58da68d0-2df1-439a-ad69-48f5e4f4b932
teste1,teste1,12345682,teste1,teste1,64f78c7f-29f0-4bf8-8e41-b78e2fbccfad
teste1,teste1,12345682,teste1,teste1,238bc35b-0fb3-4b8d-91f8-5e72d2042936
sol,lange,1234@up.pt,porto,miersi,811c8497-2928-45e7-b54c-7d16b432ef60
Markrui,priorasdasd,sdasdsa@fc.up.pt,sdsds,sdsd,e59450b0-cdec-499c-a8e1-cc3fdf7786f4
Mark12,Otto2,2323,232,32,125457a5-4ec4-4390-93b0-9bacd6040577
marco,marco,marco,marco,marco,1ae4b6e1-dedb-41b3-a969-233254d12aa2
rodrigo,rodrigo,rodrigo,rodrigo,rodrigo,9f7f8a67-9896-4429-a2f4-545805a813e7
Joao,mari,marcoaraujo96@gmail.com,marco,123,54526562-edd2-4b35-a20c-67593751bd58
Joao,mari,marcoaraujo96@gmail.com,marco,123,04591fe1-a08f-41a8-b06a-52798c6da5e6
Joao,mari,marcoaraujo96@gmail.com,marco,123,d785262d-f529-4ffd-9be7-eec331442e66
Joao,mari,marcoaraujo96@gmail.com,marco,123,51466e55-4b5a-4541-b776-4f5cfc65af43
Joao,mari,marcoaraujo96@gmail.com,marco,123,885ab10b-8338-4bf2-bf24-b3b7d5ae22e8
Joao,mari,marcoaraujo96@gmail.com,marco,123,46d0a0c8-2454-4c82-8dd6-af90864e976d
Joao,mari,marcoaraujo96@gmail.com,marco,123,ce6366ea-496a-40b4-a863-d907d8c0135b
Joao,mari,marcoaraujo96@gmail.com,marco,123,0495f975-6b4d-40fb-b2de-2875c8cffbd7
Joao,mari,marcoaraujo96@gmail.com,marco,123,e1a89e01-6101-413d-8d05-1a930199ffe3
